CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Justin Herbert (19490421),Justin Herbert,19490421,CPT,16800,LV@LAC 10/04/2021 08:15PM ET,LAC,22.98
,,,,,,,QB,Derek Carr (19490422),Derek Carr,19490422,CPT,16200,LV@LAC 10/04/2021 08:15PM ET,LV,26.81
,,,,,,,WR,Mike Williams (19490423),Mike Williams,19490423,CPT,15300,LV@LAC 10/04/2021 08:15PM ET,LAC,26.83
,,,,,,,RB,Austin Ekeler (19490424),Austin Ekeler,19490424,CPT,14400,LV@LAC 10/04/2021 08:15PM ET,LAC,18.97
,,,,,,,TE,Darren Waller (19490425),Darren Waller,19490425,CPT,13800,LV@LAC 10/04/2021 08:15PM ET,LV,17.13
,,,,,,,WR,Keenan Allen (19490426),Keenan Allen,19490426,CPT,13200,LV@LAC 10/04/2021 08:15PM ET,LAC,19.6
,,,,,,,RB,Josh Jacobs (19490427),Josh Jacobs,19490427,CPT,11400,LV@LAC 10/04/2021 08:15PM ET,LV,17
,,,,,,,QB,Justin Herbert (19490471),Justin Herbert,19490471,FLEX,11200,LV@LAC 10/04/2021 08:15PM ET,LAC,22.98
,,,,,,,QB,Derek Carr (19490472),Derek Carr,19490472,FLEX,10800,LV@LAC 10/04/2021 08:15PM ET,LV,26.81
,,,,,,,WR,Mike Williams (19490473),Mike Williams,19490473,FLEX,10200,LV@LAC 10/04/2021 08:15PM ET,LAC,26.83
,,,,,,,RB,Peyton Barber (19490428),Peyton Barber,19490428,CPT,10200,LV@LAC 10/04/2021 08:15PM ET,LV,14.7
,,,,,,,RB,Austin Ekeler (19490474),Austin Ekeler,19490474,FLEX,9600,LV@LAC 10/04/2021 08:15PM ET,LAC,18.97
,,,,,,,WR,Henry Ruggs III (19490429),Henry Ruggs III,19490429,CPT,9600,LV@LAC 10/04/2021 08:15PM ET,LV,14.87
,,,,,,,TE,Darren Waller (19490475),Darren Waller,19490475,FLEX,9200,LV@LAC 10/04/2021 08:15PM ET,LV,17.13
,,,,,,,QB,Kyle Sloter (19490430),Kyle Sloter,19490430,CPT,9000,LV@LAC 10/04/2021 08:15PM ET,LV,0
,,,,,,,QB,Marcus Mariota (19490431),Marcus Mariota,19490431,CPT,9000,LV@LAC 10/04/2021 08:15PM ET,LV,3.1
,,,,,,,QB,Chase Daniel (19490432),Chase Daniel,19490432,CPT,9000,LV@LAC 10/04/2021 08:15PM ET,LAC,0
,,,,,,,QB,Nathan Peterman (19490433),Nathan Peterman,19490433,CPT,9000,LV@LAC 10/04/2021 08:15PM ET,LV,0
