"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","LV","21.6","10000","0","0","0","0","0","0","17.3981","74.9233","0.5909","5.9952","4.8935","39.023","0.1707","0.1965","0.0982","0.0263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Michael Thomas","NO","wr","6","TB","23","9000","0","0","0","0","0","0","0.1212","0.7419","0.005","10.4103","8.23","98.4926","0.5686","0.0651","0.0325","0.0052","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Alvin Kamara","NO","rb","6","TB","18.4","7200","0","0","0","0","0","0","10.9037","48.5002","0.4431","6.1026","5.0625","41.9003","0.209","0.1133","0.0566","0.0302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Julio Jones","ATL","wr","10","SEA","20.5","7700","0","0","0","0","0","0","0.1149","0.5968","0.0047","9.7502","6.4921","97.0112","0.4732","0.0888","0.0444","0.0054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Saquon Barkley","NYG","rb","11","PIT","18","0","0","0","0","0","0","0","16.3837","72.6034","0.452","4.6486","3.7707","29.2564","0.1028","0.0377","0.0189","0.0152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Derrick Henry","TEN","rb","7","@DEN","17.3","0","0","0","0","0","0","0","19.6693","84.9052","0.7543","2.2747","1.8406","12.523","0.0461","0.1824","0.0912","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ezekiel Elliott","DAL","rb","10","@LA","17.2","0","0","0","0","0","0","0","16.8501","70.6618","0.5027","4.165","3.3606","24.4897","0.1199","0.2189","0.1094","0.0006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Dalvin Cook","MIN","rb","7","GB","16.7","7900","0","0","0","0","0","0","14.9051","61.4629","0.4847","4.5583","3.8161","28.2533","0.1153","0.2243","0.1122","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","George Kittle","SF","te","11","ARZ","16.8","7200","0","0","0","0","0","0","0","0","0","7.8897","5.8328","70.7909","0.552","0.0479","0.0239","0.0204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Chris Godwin","TB","wr","13","@NO","17.8","7100","0","0","0","0","0","0","0.2115","1.4249","0.0073","8.5845","5.803","81.7617","0.4524","0.1057","0.0529","0.0411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
